"component","category","rho_t1","pval_t1","fdr_t1","rho_delta","pval_delta","fdr_delta"
"T1+T2-1","Shared (T1+T2)",-0.721,0,0,0.096,0.2978,0.5252
"T1+T2-2","Shared (T1+T2)",-0.5,0,0,0.161,0.0782,0.3181
"T1+T2-3","Shared (T1+T2)",0.026,0.7772,0.8479,-0.078,0.3945,0.5918
"T1+T2-4","Shared (T1+T2)",0.146,0.1114,0.494,-0.04,0.6635,0.7777
"T1+T2-5","Shared (T1+T2)",0.04,0.6666,0.7999,0.024,0.7977,0.8324
"T1+T2-6","Shared (T1+T2)",0.094,0.306,0.6668,-0.334,2e-04,0.0045
"T1+T2-7","Shared (T1+T2)",-0.06,0.5176,0.6709,-0.062,0.4993,0.6657
"T1+T2-8","Shared (T1+T2)",-0.128,0.1647,0.494,0.161,0.0795,0.3181
"T1+T2-9","Shared (T1+T2)",0.02,0.8286,0.8647,0.028,0.7652,0.8324
"T1+T2-10","Shared (T1+T2)",-0.079,0.389,0.6668,-0.007,0.9374,0.9374
"T1-Individual-1","T1-individual",-0.058,0.5311,0.6709,-0.047,0.6128,0.774
"T1-Individual-2","T1-individual",-0.133,0.1474,0.494,0.105,0.2522,0.5252
"T1-Individual-3","T1-individual",0.073,0.43,0.6709,-0.072,0.4353,0.6146
"T1-Individual-4","T1-individual",0.166,0.07,0.42,-0.11,0.2334,0.5252
"T1-Individual-5","T1-individual",0.083,0.3681,0.6668,-0.184,0.0441,0.3181
"T1-Individual-6","T1-individual",-0.082,0.3743,0.6668,0.101,0.2713,0.5252
"T1-Individual-7","T1-individual",-0.058,0.5294,0.6709,0.09,0.3282,0.5252
"T1-Individual-8","T1-individual",0.129,0.1604,0.494,0.108,0.2402,0.5252
"T2-Individual-1","T2-individual",-0.028,0.7602,0.8479,-0.202,0.0269,0.3181
"T2-Individual-2","T2-individual",0.063,0.4962,0.6709,0.165,0.0717,0.3181
"T2-Individual-3","T2-individual",0.092,0.319,0.6668,0.12,0.1906,0.5252
"T2-Individual-4","T2-individual",0.229,0.0118,0.0941,-0.038,0.6805,0.7777
"T2-Individual-5","T2-individual",-0.001,0.9871,0.9871,0.092,0.3184,0.5252
"T2-Individual-6","T2-individual",0.09,0.3291,0.6668,-0.134,0.1443,0.4948
