"component","variable","category","rho","pval","fdr"
"T1+T2-1","T1 severity","Shared (T1+T2)",-0.72102820984278,1.59732633863959e-20,1.91679160636751e-18
"T1+T2-2","T1 severity","Shared (T1+T2)",-0.500297049948038,5.94384149023177e-09,1.78315244706953e-07
"T1+T2-3","T1 severity","Shared (T1+T2)",0.0260967699197419,0.777229162219971,0.905509703557248
"T1+T2-4","T1 severity","Shared (T1+T2)",0.146052600222972,0.111445939238005,0.417922272142519
"T1+T2-5","T1 severity","Shared (T1+T2)",0.0397256785089021,0.66662237902443,0.873276352257907
"T1+T2-6","T1 severity","Shared (T1+T2)",0.094230595506233,0.305967558461823,0.677380069482504
"T1+T2-7","T1 severity","Shared (T1+T2)",-0.0596349596536963,0.51762758583722,0.791277838222503
"T1+T2-8","T1 severity","Shared (T1+T2)",-0.127668756553295,0.164651541996859,0.519660584831349
"T1+T2-9","T1 severity","Shared (T1+T2)",0.0199664403944473,0.828634168774568,0.919804301067319
"T1+T2-10","T1 severity","Shared (T1+T2)",-0.0793513283309113,0.388956437737087,0.728389581359702
"T1-Individual-1","T1 severity","T1-individual",-0.0577308421496275,0.531109674318601,0.796673450764945
"T1-Individual-2","T1 severity","T1-individual",-0.133056015833099,0.147407552161818,0.512721920562846
"T1-Individual-3","T1 severity","T1-individual",0.0727029931056355,0.430035814782605,0.763722109486609
"T1-Individual-4","T1 severity","T1-individual",0.165990460992592,0.0700026875412796,0.363932274364046
"T1-Individual-5","T1 severity","T1-individual",0.0828844844500933,0.368120043254032,0.71828301122738
"T1-Individual-6","T1 severity","T1-individual",-0.0818163209722011,0.37434583104645,0.72454031815442
"T1-Individual-7","T1 severity","T1-individual",-0.0579666240544466,0.5294307336449,0.796673450764945
"T1-Individual-8","T1 severity","T1-individual",0.128969129482902,0.160357933500519,0.519660584831349
"T2-Individual-1","T1 severity","T2-individual",-0.0281473580010467,0.760235177158965,0.895758446359744
"T2-Individual-2","T1 severity","T2-individual",0.0627144142287569,0.496199649406839,0.780550269737371
"T2-Individual-3","T1 severity","T2-individual",0.09172987833391,0.31903862102169,0.677380069482504
"T2-Individual-4","T1 severity","T2-individual",0.22928718507719,0.0117661902908423,0.108610987300083
"T2-Individual-5","T1 severity","T2-individual",-0.00148614049098051,0.987147065813995,0.992461064505199
"T2-Individual-6","T1 severity","T2-individual",0.0898436230953578,0.329133157838836,0.677380069482504
"T1+T2-1","T2 severity","Shared (T1+T2)",-0.712466046006922,7.16516837234041e-20,5.73213469787233e-18
"T1+T2-2","T2 severity","Shared (T1+T2)",-0.403633146019392,4.84614185640757e-06,8.94672342721398e-05
"T1+T2-3","T2 severity","Shared (T1+T2)",0.00142277811400833,0.987695013537472,0.992461064505199
"T1+T2-4","T2 severity","Shared (T1+T2)",0.166616322075148,0.0689386031939154,0.363932274364046
"T1+T2-5","T2 severity","Shared (T1+T2)",0.0652965105082102,0.478599275533648,0.780550269737371
"T1+T2-6","T2 severity","Shared (T1+T2)",-0.0193822000796933,0.833574996926918,0.919804301067319
"T1+T2-7","T2 severity","Shared (T1+T2)",-0.0993315241772349,0.280407182979806,0.672977239151535
