"variant","factor","spearman_rho","p_value","bh_fdr"
"D1_NMF",2,-0.3156,0.00825,0.0495
"D1_NMF",5,-0.2211,0.0679,0.2037
"D1_NMF",4,0.1843,0.13,0.2385
"D1_NMF",1,0.1713,0.159,0.2385
"D1_NMF",3,0.145,0.235,0.282
"D1_NMF",6,-0.0121,0.922,0.922
"D2_EBMF_Laplace",17,0.279,0.0203,0.213
"D2_EBMF_Laplace",5,0.2589,0.0317,0.213
"D2_EBMF_Laplace",2,0.2503,0.0381,0.213
"D2_EBMF_Laplace",4,-0.2448,0.0426,0.213
"D2_EBMF_Laplace",7,0.2116,0.0809,0.3236
"D2_EBMF_Laplace",8,0.1991,0.101,0.336666666666667
"D2_EBMF_Laplace",18,0.1422,0.244,0.649333333333333
"D2_EBMF_Laplace",10,-0.1322,0.279,0.649333333333333
"D2_EBMF_Laplace",6,0.1233,0.313,0.649333333333333
"D2_EBMF_Laplace",12,-0.1079,0.378,0.649333333333333
"D2_EBMF_Laplace",20,-0.1027,0.401,0.649333333333333
"D2_EBMF_Laplace",15,0.0995,0.416,0.649333333333333
"D2_EBMF_Laplace",1,-0.0893,0.466,0.649333333333333
"D2_EBMF_Laplace",9,0.0852,0.487,0.649333333333333
"D2_EBMF_Laplace",13,-0.085,0.487,0.649333333333333
"D2_EBMF_Laplace",14,0.0554,0.651,0.708421052631579
"D2_EBMF_Laplace",19,-0.0536,0.662,0.708421052631579
"D2_EBMF_Laplace",11,-0.0527,0.667,0.708421052631579
"D2_EBMF_Laplace",16,0.0516,0.673,0.708421052631579
"D2_EBMF_Laplace",3,0.0243,0.843,0.843
"D3_EBMF_Normal",16,0.2634,0.0287,0.309
"D3_EBMF_Normal",5,0.2602,0.0309,0.309
"D3_EBMF_Normal",15,0.2174,0.0728,0.4545
"D3_EBMF_Normal",4,-0.2051,0.0909,0.4545
"D3_EBMF_Normal",7,0.1775,0.145,0.58
"D3_EBMF_Normal",1,-0.1461,0.231,0.668571428571429
"D3_EBMF_Normal",10,-0.145,0.234,0.668571428571429
"D3_EBMF_Normal",20,-0.1306,0.285,0.7
"D3_EBMF_Normal",8,-0.0878,0.473,0.7
"D3_EBMF_Normal",9,0.0847,0.489,0.7
"D3_EBMF_Normal",14,0.0829,0.498,0.7
"D3_EBMF_Normal",2,0.0814,0.506,0.7
"D3_EBMF_Normal",19,-0.0801,0.513,0.7
"D3_EBMF_Normal",11,-0.0736,0.548,0.7
"D3_EBMF_Normal",6,0.0694,0.571,0.7
"D3_EBMF_Normal",17,-0.0663,0.588,0.7
"D3_EBMF_Normal",12,-0.0557,0.65,0.7
"D3_EBMF_Normal",18,0.055,0.653,0.7
"D3_EBMF_Normal",3,0.0484,0.693,0.7
"D3_EBMF_Normal",13,-0.0472,0.7,0.7
"D4_GBCD",15,-0.3633,0.00215,0.0387
"D4_GBCD",3,-0.3071,0.0103,0.0927
"D4_GBCD",4,-0.2742,0.0226,0.1356
"D4_GBCD",8,-0.2506,0.0378,0.1701
"D4_GBCD",13,-0.2344,0.0525,0.1872
"D4_GBCD",2,-0.2255,0.0624,0.1872
"D4_GBCD",5,-0.2097,0.0837,0.215228571428571
"D4_GBCD",12,-0.1948,0.109,0.2214
"D4_GBCD",1,-0.1917,0.114,0.2214
"D4_GBCD",16,-0.1877,0.123,0.2214
"D4_GBCD",10,0.154,0.206,0.337090909090909
"D4_GBCD",6,0.1369,0.262,0.390461538461538
"D4_GBCD",17,-0.1313,0.282,0.390461538461538
"D4_GBCD",18,-0.1134,0.354,0.455142857142857
"D4_GBCD",11,0.0754,0.538,0.595058823529412
"D4_GBCD",14,-0.0737,0.548,0.595058823529412
"D4_GBCD",9,0.0709,0.562,0.595058823529412
"D4_GBCD",7,-0.0546,0.656,0.656
"D5_Asym_EBMF",1,-0.2563,0.0335,0.3804
"D5_Asym_EBMF",12,-0.2184,0.0715,0.3804
"D5_Asym_EBMF",18,-0.2139,0.0775,0.3804
"D5_Asym_EBMF",4,-0.2131,0.0787,0.3804
"D5_Asym_EBMF",7,0.2025,0.0951,0.3804
"D5_Asym_EBMF",14,-0.1907,0.116,0.386666666666667
"D5_Asym_EBMF",6,-0.1658,0.173,0.458
"D5_Asym_EBMF",8,0.1514,0.214,0.458
"D5_Asym_EBMF",5,-0.1496,0.22,0.458
"D5_Asym_EBMF",10,0.1468,0.229,0.458
"D5_Asym_EBMF",16,-0.1288,0.291,0.505
"D5_Asym_EBMF",11,0.1258,0.303,0.505
"D5_Asym_EBMF",15,-0.0701,0.567,0.82
"D5_Asym_EBMF",9,-0.0678,0.58,0.82
"D5_Asym_EBMF",20,-0.0592,0.629,0.82
"D5_Asym_EBMF",17,-0.0513,0.675,0.82
"D5_Asym_EBMF",19,-0.0414,0.735,0.82
"D5_Asym_EBMF",3,0.0409,0.738,0.82
"D5_Asym_EBMF",2,-0.0296,0.81,0.852631578947368
"D5_Asym_EBMF",13,-0.0188,0.878,0.878
