"variant","factor","spearman_rho","p_value","bh_fdr"
"S1_NMF",1,0.2619,0.0297,0.2376
"S1_NMF",4,-0.2029,0.0945,0.378
"S1_NMF",2,-0.1725,0.156,0.416
"S1_NMF",6,0.0719,0.557,0.896
"S1_NMF",3,-0.0582,0.635,0.896
"S1_NMF",8,-0.0519,0.672,0.896
"S1_NMF",7,-0.0177,0.886,0.977
"S1_NMF",5,0.0035,0.977,0.977
"S2_EBNMF",5,-0.3435,0.00386,0.05404
"S2_EBNMF",1,-0.2735,0.023,0.161
"S2_EBNMF",8,0.2263,0.0615,0.25732
"S2_EBNMF",2,0.2092,0.0845,0.25732
"S2_EBNMF",7,0.2045,0.0919,0.25732
"S2_EBNMF",9,-0.1745,0.152,0.354666666666667
"S2_EBNMF",14,-0.162,0.184,0.368
"S2_EBNMF",11,-0.1519,0.213,0.371777777777778
"S2_EBNMF",3,0.1436,0.239,0.371777777777778
"S2_EBNMF",12,-0.0904,0.46,0.5775
"S2_EBNMF",13,0.0867,0.479,0.5775
"S2_EBNMF",6,-0.0836,0.495,0.5775
"S2_EBNMF",4,-0.0565,0.645,0.694615384615385
"S2_EBNMF",10,-0.0124,0.92,0.92
"S3_GBCD",10,0.2563,0.0335,0.239666666666667
"S3_GBCD",8,-0.2321,0.055,0.239666666666667
"S3_GBCD",6,0.2181,0.0719,0.239666666666667
"S3_GBCD",3,-0.1498,0.219,0.438
"S3_GBCD",2,0.1497,0.219,0.438
"S3_GBCD",4,0.1358,0.266,0.443333333333333
"S3_GBCD",7,-0.1105,0.366,0.522857142857143
"S3_GBCD",1,-0.054,0.66,0.782222222222222
"S3_GBCD",5,-0.0466,0.704,0.782222222222222
"S3_GBCD",9,-0.0058,0.962,0.962
