"protein","mean","sd","min","max","n_neg"
"lectin, galactoside-binding, soluble, 9",10.0368059614161,0.727390033643383,8.19986504311989,12.0157201768377,0
"tumor necrosis factor receptor superfamily, member 10a",4.01534958466745,0.763669075134012,2.6478197887355,6.15634130171707,0
"agouti related protein homolog (mouse)",5.17526187361696,0.692330421584558,3.69126518311514,7.14945767933521,0
"tumor necrosis factor receptor superfamily, member 10b",6.38400661072469,0.937841174504163,4.51881344812219,9.31464802272791,0
"tumor necrosis factor receptor superfamily, member 13B",9.70376674621782,0.859431802394257,5.33623712354704,13.493865579781,0
"c-fos induced growth factor (vascular endothelial growth factor D)",7.45901260912448,0.799007900250471,1.83375231287079,8.87446411963497,0
"dickkopf WNT signaling pathway inhibitor 1",10.3639693962921,0.66579822945583,8.06405214032824,11.8205115882177,0
"renin",8.28363283129369,0.885503600776939,6.2131743196006,11.0624495727202,0
"platelet-derived growth factor beta polypeptide",11.1160456545543,0.877560341107537,7.4644608546489,12.6742779562416,0
"growth hormone 1",7.97527665437343,1.96230193298081,2.70032085471038,12.1616665440526,0
"CD4 molecule",6.11359832020692,0.442372569689229,5.09923379893104,7.27532312639354,0
"polymeric immunoglobulin receptor",7.07297337327669,0.437896873462708,5.75673410327123,9.25953912370154,0
"alpha-1-microglobulin/bikunin precursor",8.36535989937564,0.522244629953004,6.5669594197452,10.0018910503649,0
"superoxide dismutase 2, mitochondrial",9.52953260913762,0.6448381161542,7.42945877164699,10.9259525581751,0
"heat shock 27kDa protein 1",10.6911645257127,0.823177332789164,8.15215298509885,12.5635567893736,0
"interleukin 6 (interferon, beta 2)_1",6.16234583003566,2.5902612034179,2.18272920283766,14.3150712182006,0
"interleukin 6 (interferon, beta 2)_2",5.31163758056715,2.52723667464742,1.34079921960582,13.5229783991594,0
"interleukin 6 (interferon, beta 2)_3",4.6805761332372,2.46996256985262,1.31031265801976,12.7017991085733,0
"lipoprotein lipase",10.1100244035822,0.851373787632946,7.82103964011204,11.8276733020854,0
"thrombomodulin",10.3691834350807,0.532798999257621,8.9259344392906,11.8482808941833,0
"decorin",5.71860748064117,0.541350880841499,4.46321005015202,7.71372291097152,0
"cathepsin L",8.22596448891709,1.05188274513999,6.65922342967069,11.0100697163938,0
"matrix metallopeptidase 7 (matrilysin, uterine)",9.92109579737434,0.59004948521918,8.16878401691326,11.2664834046371,0
"chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)_1",9.89422966581373,0.781605456474327,7.41365865751659,11.9560047166679,0
"chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)_2",10.7298285017809,0.822773873769857,8.1573678504674,12.9747960559342,0
"heme oxygenase (decycling) 1",12.3083764186665,0.939275471308021,9.62703042255265,14.8693687439364,0
"poly (ADP-ribose) polymerase 1",3.71689998501747,0.777604652176002,1.73474109775454,7.33969951915129,0
"chemokine (C-C motif) ligand 3_1",3.57514145963369,1.20618990828518,1.47905911356891,10.3478817218803,0
"chemokine (C-C motif) ligand 3_2",2.38042895742696,1.32674584488257,0.138234604115102,9.91037448652275,0
"fatty acid binding protein 2, intestinal",7.87433844449264,1.26371278357156,3.26558338147144,10.7218815993709,0
"v-src avian sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog",7.24953264475968,0.709772212714723,5.69686440995671,9.06940459153635,0
